group	lib.size	norm.factors	eff.lib.size
control_rep1	999534	0.998032410361204	997567.327257976
control_rep2	999527	1.06427388263651	1063770.48109002
control_rep3	999619	1.06467773368363	1064272.0914671
control_rep4	999181	0.958234667811041	957449.873618103
moderate_rep1	999567	1.01556978869312	1015130.04697462
moderate_rep2	999527	0.996252281791927	995781.05446264
moderate_rep3	999270	1.06427200412225	1063495.08555924
moderate_rep4	999813	0.987615702139817	987431.018003516
extreme_rep1	999069	0.768919938801038	768204.074338014
extreme_rep2	1000060	1.11100408634999	1111070.74659517
extreme_rep3	999537	0.983701486806126	983246.033017735
extreme_rep4	999437	1.0268060133796	1026227.92159407
relaxation_rep1	999040	1.07958758159602	1078551.17751768
relaxation_rep2	999622	0.87416416151281	873833.727459758
relaxation_rep3	999537	0.989245934325108	988787.913457516
relaxation_rep4	999174	0.999721286930621	998895.517147616
upwelling_rep1	999318	0.915324772000218	914700.520505714
upwelling_rep2	999635	0.995003689577307	994640.513230611
upwelling_rep3	999603	0.999274974871537	998878.262706513
upwelling_rep4	999299	1.18392625928479	1183096.32697703
